Coach,Win Percent,Season,Record,Team,Sport
Thomas Chestnutt,.368,2013-14,7-12,FIU,Womens Soccer
Thomas Chestnutt,.500,2014-15,8-8-2,FIU,Womens Soccer
Jason Mims,.344,2012-13,5-10-1,Omaha,Mens Soccer
Jason Mims,.406,2013-14,6-9-1,Omaha,Mens Soccer
George Shehl,.000,2015-16,0-0,West Va. Wesleyan,Football
Jason Mims,.115,2011-12,1-11-1,Omaha,Mens Soccer
Thomas Chestnutt,.630,2011-12,13-7-3,FIU,Womens Soccer
Thomas Chestnutt,.667,2012-13,13-6-2,FIU,Womens Soccer
Jason Mims,.647,2014-15,10-5-2,Omaha,Mens Soccer
Jason Mims,.000,2015-16,0-0,Omaha,Mens Soccer
Kerri Scroope,.342,2014-15,6-12-1,Delaware St.,Womens Soccer
Kerri Scroope,.059,2013-14,1-16,Delaware St.,Womens Soccer
Kerri Scroope,.447,2012-13,8-10-1,Salve Regina,Womens Soccer
Matt Darling,.625,2011-12,20-12,Gannon,Womens Volleyball
Kerri Scroope,.643,2011-12,13-7-1,Salve Regina,Womens Soccer
Kerri Scroope,.366,2010-11,15-26,Salve Regina,Softball
Kerri Scroope,.588,2009-10,20-14,Salve Regina,Softball
Paul Lawson,.107,2012-13,3-25,Alverno,Womens Volleyball
Paul Lawson,.258,2013-14,8-23,Pfeiffer,Womens Volleyball
Johnnie Keen,.000,2015-16,0-0,UC-Colo. Springs,Mens Soccer
Paul Lawson,.125,2011-12,4-28,Alverno,Womens Volleyball
Johnnie Keen,.441,2013-14,6-8-3,UC-Colo. Springs,Mens Soccer
Kerri Scroope,.554,2008-09,25-20-,Salve Regina,Softball
Caitlin Rimgaila,.000,2015-16,0-0,La Salle,Womens Volleyball
Johnnie Keen,.500,2012-13,9-9-1,UC-Colo. Springs,Mens Soccer
Colby Hale,.646,2013-14,15-8-1,Arkansas,Womens Soccer
Kerri Scroope,.000,2015-16,0-0,Delaware St.,Womens Soccer
Paul Lawson,.120,2014-15,3-22,Pfeiffer,Womens Volleyball
Paul Lawson,.000,2015-16,0-0,Pfeiffer,Womens Volleyball
Dan Cocannouer,.455,2011-12,5-6,Southwestern Okla.,Football
Mike Navarre,.188,1999-00,3-13,Augsburg,Mens Soccer
Kiko Magana,.000,2015-16,0-0,Lees-McRae,Womens Soccer
Tammy Blake,.536,2013-14,15-13,Minn. St. Moorhead,Womens Volleyball
Jonathan Thayil,.472,2012-13,7-8-3,Shepherd,Womens Soccer
Mike Navarre,.324,2001-02,5-11-1,Augsburg,Mens Soccer
Colin Carmichael,.885,2011-12,22-2-2,Oklahoma St.,Womens Soccer
Colin Carmichael,.625,2012-13,11-6-3,Oklahoma St.,Womens Soccer
Brooks Monaghan,.553,2012-13,10-8-1,Memphis,Womens Soccer
Tom Gardner,.667,2013-14,22-11,Southern Me.,Womens Volleyball
Tom Gardner,.290,2012-13,9-22,Southern Me.,Womens Volleyball
Tom Gardner,.000,2011-12,0-22,Southern Me.,Womens Volleyball
Arne Ferguson,.000,2015-16,0-0,Western Ore.,Football
Arne Ferguson,.545,2014-15,6-5,Western Ore.,Football
Jon Anderson,.000,2013-14,0-11,West Virginia St.,Football
Arne Ferguson,.545,2012-13,6-5,Western Ore.,Football
Arne Ferguson,.545,2011-12,6-5,Western Ore.,Football
Tim Lenahan,.000,2015-16,0-0,Northwestern,Mens Soccer
Tim Lenahan,.632,2014-15,9-4-6,Northwestern,Mens Soccer
Justine Sowry,.600,2012-13,12-8,Louisville,Field Hockey
David Castellanos,.806,2013-14,14-3-1,Penn St.-Abington,Womens Soccer
Mike Navarre,.675,2012-13,12-5-3,Augsburg,Womens Soccer
Ryan Bush,.444,2013-14,6-8-4,Oral Roberts,Mens Soccer
Brooks Monaghan,.000,2015-16,0-0,Memphis,Womens Soccer
Wayne Currie,.000,2015-16,0-0,Emmanuel (MA),Womens Soccer
Michael Runeare,.694,2005-06,11-4-3,UC Santa Cruz,Womens Soccer
Jamie Wozniak,.600,2012-13,18-12,Trine,Womens Volleyball
Michael Runeare,.000,2015-16,0-0,UC Santa Cruz,Mens Soccer
Kathy Brawn,.619,2012-13,11-6-4,Colgate,Womens Soccer
Kathy Brawn,.605,2013-14,10-6-3,Colgate,Womens Soccer
Kathy Frankowski,.000,2015-16,0-0,Mitchell,Womens Volleyball
Vicki Sterner,.583,2014-15,9-6-3,York (PA),Womens Soccer
Vicki Sterner,.000,2015-16,0-0,York (PA),Womens Soccer
Mark Serdjenian,.400,2009-10,5-8-2,Colby,Mens Soccer
Mark Serdjenian,.500,2010-11,7-7-1,Colby,Mens Soccer
Mark Serdjenian,.500,2011-12,7-7-1,Colby,Mens Soccer
Mark Serdjenian,.357,2012-13,4-8-2,Colby,Mens Soccer
Mark Serdjenian,.286,2013-14,4-10,Colby,Mens Soccer
Kathy Brawn,.632,2011-12,11-6-2,Colgate,Womens Soccer
Takilia Mayfield,.481,2014-15,13-14,Stillman,Womens Volleyball
Christy Benner,.378,2004-05,14-23,Wheeling Jesuit,Softball
Jeremy Groves,.550,2014-15,11-9,Murray St.,Womens Soccer
Takilia Mayfield,.000,2015-16,0-0,Stillman,Womens Volleyball
Brian Quinn,.559,2011-12,9-7-1,Bridgeport,Mens Soccer
Jeremy Groves,.000,2015-16,0-0,Murray St.,Womens Soccer
Brian Quinn,.562,2013-14,9-7,Bridgeport,Mens Soccer
Brian Quinn,.556,2012-13,10-8,Bridgeport,Mens Soccer
Brian Quinn,.000,2015-16,0-0,Bridgeport,Mens Soccer
Brian Quinn,.367,2014-15,5-9-1,Bridgeport,Mens Soccer
John Natale,.056,1952-53,1-17,Binghamton,Mens Basketball
John Natale,.176,1953-54,3-14,Binghamton,Mens Basketball
Rogers Bush,.775,2013-14,15-4-1,Oral Roberts,Womens Soccer
Rogers Bush,.324,2014-15,4-10-3,Oral Roberts,Womens Soccer
Rogers Bush,.000,2015-16,0-0,Oral Roberts,Womens Soccer
Rob Donnenwirth,.575,2012-13,10-7-3,East Carolina,Womens Soccer
Sue Everden,.312,1981-82,2-5-1,Clarkson,Womens Lacrosse
Joe Bartlinski,.886,2013-14,18-1-3,West Florida,Womens Soccer
Joe Bartlinski,.667,2014-15,12-6,West Florida,Womens Soccer
Bernie Chase,.706,2014-15,24-10,Worcester St.,Womens Volleyball
Bernie Chase,.000,2015-16,0-0,Worcester St.,Womens Volleyball
Cathy Hummel,.500,2011-12,15-15,Canisius,Womens Volleyball
Cathy Hummel,.552,2012-13,16-13,Canisius,Womens Volleyball
Cathy Hummel,.379,2013-14,11-18,Canisius,Womens Volleyball
Cathy Hummel,.375,2014-15,12-20,Canisius,Womens Volleyball
Cathy Hummel,.000,2015-16,0-0,Canisius,Womens Volleyball
Bernie Chase,.433,2011-12,13-17,Worcester St.,Womens Volleyball
Bernie Chase,.444,2012-13,12-15,Worcester St.,Womens Volleyball
Bernie Chase,.321,2013-14,9-19,Worcester St.,Womens Volleyball
Brad Saindon,.000,2015-16,0-0,Western Ore.,Womens Volleyball
Kelly Richardson,.303,2012-13,10-23,Southwest Baptist,Womens Volleyball
Kelly Richardson,.364,2011-12,12-21,Southwest Baptist,Womens Volleyball
Eric Terrill,.526,2011-12,9-8-2,Charleston So.,Womens Soccer
Kim Dameron,.000,2015-16,0-0,Eastern Ill.,Football
Kim Dameron,.417,2014-15,5-7,Eastern Ill.,Football
Aileen Naspany,.389,2012-13,7-11,Academy of Art,Womens Soccer
Aileen Naspany,.312,2011-12,4-10-2,Academy of Art,Womens Soccer
Aileen Naspany,.139,2014-15,2-15-1,Cal St. Dom. Hills,Womens Soccer
Aileen Naspany,.194,2013-14,3-14-1,Academy of Art,Womens Soccer
Kelly Richardson,.344,2010-11,11-21,Southwest Baptist,Womens Volleyball
Aileen Naspany,.000,2015-16,0-0,Cal St. Dom. Hills,Womens Soccer
Andrew Stout,.553,2012-13,9-7-3,Manchester,Womens Soccer
Chris Citowicki,.529,2012-13,9-8,St. Catherine,Womens Soccer
Kelly Garthwait Mahl,.500,2013-14,12-12,Saint Michaels,Womens Volleyball
Patrick Horne,.000,2015-16,0-0,Brooklyn,Womens Soccer
Chris Citowicki,.056,2011-12,1-17,St. Catherine,Womens Soccer
Patrick Horne,.778,2013-14,14-4,Brooklyn,Womens Soccer
Patrick Horne,.525,2014-15,10-9-1,Brooklyn,Womens Soccer
Patrick Horne,.133,2011-12,2-13,Concordia (NY),Womens Soccer
Patrick Horne,.464,2012-13,6-7-1,Brooklyn,Womens Soccer
Patrick Horne,.667,1998-99,11-5-2,Old Westbury,Mens Soccer
Patrick Horne,.444,1999-00,7-9-2,Old Westbury,Mens Soccer
Scott Hall,.471,2014-15,24-27,Butler,Softball
Jon Killingbeck,.000,2015-16,0-0,Iona,Womens Volleyball
Wade Benson,.516,2009-10,16-15,Auburn,Womens Volleyball
Wade Benson,.618,2010-11,21-13,Auburn,Womens Volleyball
Wade Benson,.323,2013-14,10-21,Eastern Wash.,Womens Volleyball
Jon Killingbeck,.462,2011-12,12-14,Iona,Womens Volleyball
Jon Killingbeck,.345,2012-13,10-19,Iona,Womens Volleyball
Jon Killingbeck,.533,2013-14,16-14,Iona,Womens Volleyball
Jon Killingbeck,.294,2014-15,10-24,Iona,Womens Volleyball
Kyle Rush,.441,2014-15,6-8-3,Ursinus,Mens Soccer
Wade Benson,.310,2014-15,9-20,Eastern Wash.,Womens Volleyball
Wade Benson,.000,2015-16,0-0,Eastern Wash.,Womens Volleyball
Kelli Wilkinson,.333,1999-00,10-20,Notre Dame (MD),Womens Volleyball
Jason Kozak,.500,2012-13,16-16,Charleston (WV),Womens Volleyball
Kelli Wilkinson,.677,2000-01,21-10,Notre Dame (MD),Womens Volleyball
Scott Hall,.439,2011-12,25-32,Butler,Softball
Kelli Wilkinson,.735,2001-02,25-9,Notre Dame (MD),Womens Volleyball
Kelli Wilkinson,.290,2014-15,9-22,Goucher,Womens Volleyball
Kelli Wilkinson,.000,2015-16,0-0,Goucher,Womens Volleyball
Christa Racine,.000,2015-16,0-0,Drew,Womens Soccer
Jeff Lennox,.414,2013-14,12-17,Barton,Mens Volleyball
Jeff Lennox,.419,2014-15,13-18,Barton,Mens Volleyball
Jeff Lennox,.550,2011-12,22-18,Elmira,Mens Volleyball
Dewey Lusk,.182,2014-15,2-9,UVa-Wise,Football
Bob Bartolomeo,.000,2015-16,0-0,UIndy,Football
Jason Carlson,.529,2012-13,8-7-2,Clarke,Mens Soccer
Bob Bartolomeo,.636,2011-12,7-4,UIndy,Football
Bob Bartolomeo,.818,2014-15,9-2,UIndy,Football
Robert Bielan,.053,2014-15,1-18,Saint Peters,Womens Soccer
Jason Carlson,.500,2013-14,7-7-2,Upper Iowa,Mens Soccer
